experiment,local_cv_rmse,kaggle_public_score,rank_note,submission_file,main_changes,notes
20260506_baseline_blend,0.11122,0.12859,"around top 30%",outputs/submission_baseline.csv,"baseline preprocessing; Lasso/ElasticNet/Ridge/GBR blend","Local CV is optimistic versus public score."
20260506_full_optimization_round,0.10609,,"pending",submissions/20260506_optimized_weight_blend.csv,"advanced preprocessing; skewed numeric log transforms; fuller ordinal encoding; OOF evaluation; ElasticNet/Lasso/SVR/Ridge/KernelRidge/CatBoost/XGBoost blend","Recommended first submission. Ridge stack has lower apparent CV but is treated as optimistic diagnostic."
20260506_optimized_weight_blend,0.10609,0.12173,"submitted",submissions/20260506_optimized_weight_blend.csv,"non-negative OOF weight blend; no clipping","Improved over baseline, but public score is much worse than local CV suggested."
20260506_optimized_weight_blend_clipped,0.10609,0.11865,"best submitted in this round",submissions/20260506_optimized_weight_blend_clipped.csv,"non-negative OOF weight blend; clipped high predictions","Best public score so far. Clipping helped by 0.00308 versus the unclipped version."
20260506_simple_blend,0.10689,0.12153,"submitted",submissions/20260506_simple_blend.csv,"equal-weight blend of seven core models; no clipping","Slightly better than optimized_weight_blend on public score despite worse local CV."
20260506_ridge_stack,0.10516,0.12258,"submitted",submissions/20260506_ridge_stack.csv,"Ridge stacking; no clipping","Local CV was optimistic. Worst submitted score in this round."
20260506_ridge_stack_clipped,0.10516,0.11982,"submitted",submissions/20260506_ridge_stack_clipped.csv,"Ridge stacking; clipped high predictions","Clipping also helped stacking substantially, but still worse than optimized_weight_blend_clipped."
20260507_calibration_round,,,pending,submissions/calibration_20260507/20260507_opt_clip_q995.csv,"high-price calibration; quantile clipping; soft tail shrink; conservative log blends","Recommended first candidate for the calibration round. Current best public score to beat is 0.11865."
20260507_opt_clip_q990,,0.11841,"submitted",submissions/calibration_20260507/20260507_opt_clip_q990.csv,"optimized blend clipped at train SalePrice q990","Very strong clipping improves over previous best, but is worse than q993."
20260507_opt_clip_q993,,0.11805,"best submitted so far",submissions/calibration_20260507/20260507_opt_clip_q993.csv,"optimized blend clipped at train SalePrice q993","Best score so far. Confirms high-price cap should be lower than q997/q995."
20260507_mean_opt_simple_inverse_clip_q997,,0.11837,"submitted",submissions/calibration_20260507/20260507_mean_opt_simple_inverse_clip_q997.csv,"conservative log blend of opt/simple/inverse with q997 clipping","Conservative blend helps but not as much as stronger q993 clipping."
20260507_opt_soft_q995_s035,,0.11947,"submitted",submissions/calibration_20260507/20260507_opt_soft_q995_s035.csv,"soft tail shrink above q995 retaining 35 percent tail","Soft shrink is worse than hard clipping, suggesting the high-price tail remains overestimated."
20260507_mix50_opt_simple_clip_q997,,0.11842,"submitted",submissions/calibration_20260507/20260507_mix50_opt_simple_clip_q997.csv,"50/50 log blend of optimized and simple with q997 clipping","Conservative blend is close to q990, but not better than stronger q993 hard cap."
20260507_opt_clip_q995,,0.11818,"submitted",submissions/calibration_20260507/20260507_opt_clip_q995.csv,"optimized blend clipped at train SalePrice q995","Improves over q997 previous best, but q993 is better."
20260507_target_encoding_round,0.10653,,"pending",submissions/model_redesign_20260507/target_encoding/20260507_te_conservative_blend_mix_current_best_clip_q993.csv,"OOF target encoding features; new scoring panel; TE blends; q993 clipping; 50/50 log mix with current best","Best TE blend CV is close to but not better than the previous optimized blend. Recommended to test mix/current-best and clipped variants before treating TE as a main direction."
20260507_te_weighted_blend_clip_q993,0.10653,0.11819,"submitted",submissions/model_redesign_20260507/target_encoding/20260507_te_weighted_blend_clip_q993.csv,"OOF target encoding weighted blend; q993 clipping","Pure TE weighted blend is slightly worse than previous best 0.11805."
20260507_te_weighted_blend_mix_current_best_clip_q993,0.10653,0.11774,"submitted",submissions/model_redesign_20260507/target_encoding/20260507_te_weighted_blend_mix_current_best_clip_q993.csv,"OOF target encoding weighted blend; q993 clipping; 50/50 log mix with previous best","Mixing with the previous best confirms TE provides useful incremental signal."
20260507_te_conservative_blend_clip_q993,0.10676,0.11802,"submitted",submissions/model_redesign_20260507/target_encoding/20260507_te_conservative_blend_clip_q993.csv,"OOF target encoding conservative blend; q993 clipping","Pure TE conservative blend is very close to previous best but not better."
20260507_te_conservative_blend_mix_current_best_clip_q993,0.10676,0.11765,"best submitted so far",submissions/model_redesign_20260507/target_encoding/20260507_te_conservative_blend_mix_current_best_clip_q993.csv,"OOF target encoding conservative blend; q993 clipping; 50/50 log mix with previous best","Best score so far. Conservative TE blend contributes complementary signal when mixed with the previous best."
